Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Units,CDE Reference,,,,,,
pleural_effusion2,clinical_data_abstraction,,yesno,Pleural effusion,,,,,,,,y,,,,, @HIDDEN
chest_tube,clinical_data_abstraction,,yesno,Chest-tube or drainage required,,,,,,,,y,,,,, @HIDDEN
pulm_hemorrhage2,clinical_data_abstraction,,yesno,Pulmonary hemorrhage,,,,,,,,y,,,,, @HIDDEN
bronchospasm,clinical_data_abstraction,,yesno,"Severe bronchospasm requiring continuous bronchodilators	",,,,,,,,y,,,,, @HIDDEN
chest_xray,clinical_data_abstraction,,yesno,Chest X-ray performed?,,"If yes, please include a de-identified copy of the report from the patient's first chest X-ray during this hospital stay.",,,,,,y,,,,, @HIDDEN
cxr,clinical_data_abstraction,,file,Please include a de-identified copy of the report from the patient's first chest X-ray during this hospital stay.,,,,,,,[chest_xray]='1',y,,,,, @HIDDEN
chest_ct,clinical_data_abstraction,,yesno,Chest CT scan performed?,,"	If yes, please include a de-identified copy of the report(s).",,,,,,y,,,,, @HIDDEN
chest_ct_upload,clinical_data_abstraction,,file,Please include a de-identified copy of the report(s).,,,,,,,[chest_ct]='1',y,,,,, @HIDDEN
lung_biopsy,clinical_data_abstraction,,yesno,Lung biopsy performed?,,"If yes, please include a deidentified copy of the report(s) if possible.",,,,,,y,,,,, @HIDDEN
lung_biopsy_upload,clinical_data_abstraction,,file,Please include a de-identified copy of the report(s).,,,,,,,[lung_biopsy]='1',y,,,,, @HIDDEN
vasoactive_infusion,clinical_data_abstraction,Cardiovascular Complications,yesno,Vasoactive infusions?,,,,,,,,y,,,,, @HIDDEN
ecmo_support,clinical_data_abstraction,,yesno,ECMO Support,,,,,,,,y,,,,, @HIDDEN
ecmo_type,clinical_data_abstraction,,radio,Type of ECMO Support,"1, Veno-venous | 2, Veno-arterial | 3, Both VV and VA",,,,,,[ecmo_support]='1',y,,,,, @HIDDEN
cardiac_ct,clinical_data_abstraction,,yesno,Cardiac CT Scan,,,,,,,,y,,,,, @HIDDEN
cardiac_ct_upload,clinical_data_abstraction,,file,Please include a de-identified copy of the report from all cardiac CT scans performed during this hospitalization.,,,,,,,[cardiac_ct]='1',y,,,,, @HIDDEN
cardiac_cath,clinical_data_abstraction,,yesno,Cardiac Catheterization,,,,,,,,y,,,,, @HIDDEN
cardiac_cath_upload,clinical_data_abstraction,,file,Please include a de-identified copy of the report from all cardiac catheterizations performed during this hospitalization.,,,,,,,[cardiac_cath]='1',y,,,,, @HIDDEN
echo,clinical_data_abstraction,,yesno,Echocardiogram,,,,,,,,y,,,,, @HIDDEN
cardiac,clinical_data_abstraction,,yesno,"Were there cardiac complications during hospitalization, such as coronary artery aneurysms, pericarditis, pericardial effusions, myocarditis, cardiac dysfunction, or arrhythmia?",,,,,,,[cohort_type] = '9' or [cohort_type] = '10' ,y,,,,,
cardiac_complic,clinical_data_abstraction,,checkbox,Which cardiac complications were diagnosed during hospitalization?,"1, Coronary artery aneurysms | 2, Pericarditis or pericardial effusions | 3, Myocarditis | 4, Cardiac dysfunction including reduced ejection fraction or heart failure | 5, Arrhythmia/dysrhythmia | 6, Other cardiac complication",,,,,,[cardiac] = '1',,,,,,
cardiac_complic_oth,clinical_data_abstraction,,text,Which other cardiac complication(s) were diagnosed during hospitalization?,,,,,,,[cardiac_complic(6)] = '1',y,,,,,
coronary_artery_aneurysms,clinical_data_abstraction,,yesno,Did the patient have coronary artery aneurysms documented?,,,,,,,[cohort_type] = '9' or [cohort_type] = '10' ,y,,,,, @HIDDEN
max_z_score,clinical_data_abstraction,,text,Maximum Z score if ? 2.5:,,Mark -6 if not done,,,,,[echo]='1',y,,,,, @HIDDEN
aneurysms_location,clinical_data_abstraction,,text,Location(s) of aneurysms: ,,,,,,,[coronary_artery_aneurysms]='1',y,,,,, @HIDDEN
ejection_fraction,clinical_data_abstraction,,text,Lowest ejection fraction on echocardiography (%):,,"%, mark -6 if not done",,,,,[echo]='1',y,,,,, @HIDDEN
echo_uploads,clinical_data_abstraction,,file,Please include a de-identified copy of the report from all echocardiograms performed during this hospitalization.,,,,,,,[echo]='1',y,,,,, @HIDDEN
pericarditis,clinical_data_abstraction,,yesno,Pericarditis or pericardial effusion diagnosed during hospital stay?,,,,,,,[cohort_type] = '9' or [cohort_type] = '10' ,y,,,,, @HIDDEN
myocarditis,clinical_data_abstraction,,yesno,Myocarditis or cardiac dysfunction diagnosed during hospital stay?,,,,,,,[cohort_type] = '9' or [cohort_type] = '10' ,y,,,,, @HIDDEN
myocarditis_recovery,clinical_data_abstraction,,radio,Did the patient recover to have a normal cardiac ejection fraction on echocardiography?,"1, Yes | 2, No | 3, Not done",,,,,,,y,,,,, @HIDDEN
myocard_recovery,clinical_data_abstraction,,text,How many days after myocarditis/cardiac dysfunction diagnosis did the patient recover?,,days,,,,,[myocarditis_recovery]='1',y,,,,, @HIDDEN
myocarditis_tx,clinical_data_abstraction,,yesno,"If patient did not recover, do they need treatment at hospital discharge?",,,,,,,[myocarditis_recovery]='2',y,,,,, @HIDDEN
myocard_tx_drugs,clinical_data_abstraction,,text,Please list drugs required for ongoing treatment of myocarditis/cardiac dysfunction: ,,,,,,,[myocarditis_tx]='1',y,,,,, @HIDDEN
cardiac_dysrhythmia,clinical_data_abstraction,,yesno,Cardiac dysrhythmia/arrhythmia documented,,,,,,,[cohort_type] = '9' or [cohort_type] = '10' ,y,,,,, @HIDDEN
specific_dysrhythmia,clinical_data_abstraction,,text,Specify dysrhythmia:,,,,,,,[cardiac_complic(5)] = '1',y,,,,,
neuro,clinical_data_abstraction,Neurologic Complications,yesno,"Were there neurologic complications during hospitalization, such as encephalitis, aseptic meningitis, demyelinating disorder (ADEM), stroke or cerebrovascular accident (CVA), increased intracranial pressure (ICP), decreased hearing or vision, or iritis/uveitis?",,,,,,,[cohort_type] = '9' or [cohort_type] = '10' ,y,,,,,
neuro_which,clinical_data_abstraction,,checkbox,Which neurologic complications were diagnosed during hospitalization?,"1, Encephalitis | 2, Aseptic meningitis | 3, Demyelinating disorder (ADEM) | 4, Stroke or cerebrovascular accident (CVA) | 10, Coma | 11, Seizures | 5, Increased intracranial pressure (ICP) | 6, Decreased hearing | 7, Decreased vision | 8, Iritis or uveitis | 9, Other",Check all that apply,,,,,[neuro] = '1',y,,,,,
neuro_which_oth,clinical_data_abstraction,,text,What other neurologic complication(s) were diagnosed during hospitalization?,,,,,,,[neuro_which(9)] = '1',y,,,,,
adem,clinical_data_abstraction,,yesno,"Encephalitis, aseptic meningitis, or demyelinating disorder (ADEM) diagnosed during ICU stay?",,,,,,,,y,,,,, @HIDDEN
decreased_hearing,clinical_data_abstraction,,yesno,Decreased hearing,,,,,,,,y,,,,, @HIDDEN
decreased_vision,clinical_data_abstraction,,yesno,Decreased vision,,,,,,,,y,,,,, @HIDDEN
iritis_uveitis,clinical_data_abstraction,,yesno,Iritis or uveitis diagnosed.,,,,,,,,y,,,,, @HIDDEN
stroke_cva,clinical_data_abstraction,,yesno,Stroke or cerebrovascular accident (CVA),,,,,,,,y,,,,, @HIDDEN
icp,clinical_data_abstraction,,yesno,Increased intracranial pressure (ICP),,,,,,,,y,,,,, @HIDDEN
gi_complications,clinical_data_abstraction,GI Complications,yesno,"Did the subject experience any GI complications during this hospitalization, such as appendicitis, severe diarrhea, severe abdominal pain, gallbladder hydrops or edema, pancreatitis, or hepatitis?",,,,,,,[cohort_type] = '9' or [cohort_type] = '10' ,y,,,,,
gi_complic_which,clinical_data_abstraction,,checkbox,What GI complications were diagnosed during hospitalization?,"1, Appendicitis | 2, Severe diarrhea | 3, Severe abdominal pain | 4, Gallbladder hydrops (marked dilation) or edema | 5, Pancreatitis  | 6, Hepatitis | 7, Other",Check all that apply,,,,,[gi_complications]='1',y,,,,,
gi_complic_which_oth,clinical_data_abstraction,,text,What other GI complication(s) were diagnosed during hospitalization?,,,,,,,[gi_complic_which(7)] = '1',y,,,,,
appendicitis,clinical_data_abstraction,,yesno,Appendicitis,,,,,,,[gi_complications]='1',y,,,,, @HIDDEN
appendix_removed,clinical_data_abstraction,,yesno,Was the patient's appendix removed?,,,,,,,[gi_complic_which(1)] = '1',y,,,,,
diarrhea1,clinical_data_abstraction,,yesno,Severe diarrhea,,,,,,,[gi_complications]='1',y,,,,, @HIDDEN
abd_pain1,clinical_data_abstraction,,yesno,Severe abdominal pain,,,,,,,[gi_complications]='1',y,,,,, @HIDDEN
gallbladder_hydrops,clinical_data_abstraction,,yesno,"Gallbladder hydrops (marked dilation) or edema	",,,,,,,[gi_complications]='1',y,,,,, @HIDDEN
pancreatitis,clinical_data_abstraction,,yesno,Pancreatitis ,,,,,,,[gi_complications]='1',y,,,,, @HIDDEN
hepatitis_hepatomegaly,clinical_data_abstraction,,yesno,"Hepatitis or hepatomegaly	",,,,,,,[gi_complications]='1',y,,,,, @HIDDEN
hem_complications,clinical_data_abstraction,Hematologic/Thrombotic Complications,yesno,Did the subject experience any hematologic/thrombotic complications during this hospitalization?,,,,,,,[cohort_type] = '9' or [cohort_type] = '10' ,y,,,,,
hem_complic_which,clinical_data_abstraction,,checkbox,Which hematologic/thrombotic complication(s) were diagnosed during hospitalization?,"1, Deep vein thrombosis | 2, Pulmonary embolism | 3, Sinus venous thrombosis | 4, Bleeding | 5, Other",Check all that apply,,,,,[hem_complications]='1',y,,,,,
hem_complic_which_oth,clinical_data_abstraction,,text,Which other hematologic/thrombotic complication(s) were diagnosed during hospitalization?,,,,,,,[hem_complic_which(5)] = '1',y,,,,,
dvt1,clinical_data_abstraction,,yesno,"Deep vein thrombosis	",,,,,,,[hem_complications]='1',y,,,,, @HIDDEN
pulm_embolism,clinical_data_abstraction,,yesno,Pulmonary embolism,,,,,,,[hem_complications]='1',y,,,,, @HIDDEN
venous_thrombosis,clinical_data_abstraction,,yesno,Sinus venous thrombosis,,,,,,,[hem_complications]='1',y,,,,, @HIDDEN
bleeding,clinical_data_abstraction,,yesno,Bleeding,,,,,,,[hem_complications]='1',y,,,,, @HIDDEN
renal,clinical_data_abstraction,Renal Complications,yesno,Did the subject experience any renal complications during this hospitalization?,,,,,,,[cohort_type] = '9' or [cohort_type] = '10' ,,,,,,
renal_which,clinical_data_abstraction,,checkbox,Which renal complication(s) were diagnosed during hospitalization?,"1, Acute kidney injury (AKI) | 2, Dialysis | 3, Other",,,,,,[renal] = '1',,,,,,
renal_which_oth,clinical_data_abstraction,,text,Which other renal complication(s) were diagnosed during hospitalization?,,,,,,,[renal_which(3)] = '1',,,,,,
aki,clinical_data_abstraction,,yesno,AKI,,,,,,,,y,,,,, @HIDDEN
dialysis1,clinical_data_abstraction,,yesno,Dialysis,,,,,,,,y,,,,, @HIDDEN
tx_any,clinical_data_abstraction,Specific SARS-CoV-2 Treatments,yesno,Were any specific treatments given for the acute illness?,,,,,,,,y,,,,,
treatments,clinical_data_abstraction,,checkbox,Please indicate which treatments the subject received for the acute illness.,"1, Remdesivir | 2, Anakinra | 3, Tocilizimab | 4, Sarilumab | 5, Dexamethasone (specifically for COVID-19) | 6, Hydrocortisone (specifically for COVID-19) | 7, Methylprednisone (specifically for COVID-19) | 22, Anticoagulant (e.g., heparin, enoxaparin, bivalirudin, warfarin, argatroban) | 8, Plasma exchange | 9, Convalescent plasma | 10, IVIG | 11, Bamlanivimab (anti-spike monoclonal antibody) | 12, Etesevimab (anti-spike monoclonal antibody) | 13, Casirivimab and imdevimab (REGN-COV2) (anti-spike monoclonal antibodies) | 14, Hydroxychloroquine/Chloroquine | 15, Azithromycin | 16, Ivermectin | 17, Lopinavir/ritonavir | 18, Interferon ? | 19, Interferon ? | 20, Other antibiotics specific for COVID-19 (specify) | 21, Other treatments for COVID-19 (specify)","Include treatments received while hospitalized, if applicable.",,,,,[tx_any] = '1',y,,,,,
remdesivir,clinical_data_abstraction,,yesno,Remdesivir,,,,,,,,y,,,,, @HIDDEN
anakinra,clinical_data_abstraction,,yesno,Anakinra,,,,,,,,y,,,,, @HIDDEN
tocilizimab,clinical_data_abstraction,,yesno,Tocilizimab,,,,,,,,y,,,,, @HIDDEN
sarilumab,clinical_data_abstraction,,yesno,Sarilumab,,,,,,,,y,,,,, @HIDDEN
dexamethasone,clinical_data_abstraction,,yesno,Dexamethasone (specifically for COVID-19),,,,,,,,y,,,,, @HIDDEN
hydrocortisone,clinical_data_abstraction,,yesno,Hydrocortisone (specifically for COVID-19),,,,,,,,y,,,,, @HIDDEN
methylprednisone,clinical_data_abstraction,,yesno,Methylprednisone (specifically for COVID-19),,,,,,,,y,,,,, @HIDDEN
plasma_exchange,clinical_data_abstraction,,yesno,Plasma Exchange,,,,,,,,y,,,,, @HIDDEN
convalescent_plasma,clinical_data_abstraction,,yesno,Convalescent plasma,,,,,,,,y,,,,, @HIDDEN
ivig,clinical_data_abstraction,,yesno,IVig,,,,,,,,y,,,,, @HIDDEN
bamlanivimab,clinical_data_abstraction,,yesno,Bamlanivimab - monoclonal antibody against spike protein,,,,,,,,y,,,,, @HIDDEN
etesevimab,clinical_data_abstraction,,yesno,Etesevimab - monoclonal antibody against spike protein,,,,,,,,y,,,,, @HIDDEN
casirivimab_imdevimab,clinical_data_abstraction,,yesno,Casirivimab and imdevimab (REGN-COV2) - monoclonal antibodies to spike protein,,,,,,,,y,,,,, @HIDDEN
hydroxychloroquine_chloroquine,clinical_data_abstraction,,yesno,Hydroxychloroquine/Chloroquine,,,,,,,,y,,,,, @HIDDEN
azithromycin,clinical_data_abstraction,,yesno,Azithromycin,,,,,,,,y,,,,, @HIDDEN
ivermectin,clinical_data_abstraction,,yesno,Ivermectin,,,,,,,,y,,,,, @HIDDEN
lopinavir_ritonavir,clinical_data_abstraction,,yesno,Lopinavir/ritonavir,,,,,,,,y,,,,, @HIDDEN
interferon_a,clinical_data_abstraction,,yesno,Interferon ?,,,,,,,,y,,,,, @HIDDEN
interferon_b,clinical_data_abstraction,,yesno,Interferon ?,,,,,,,,y,,,,, @HIDDEN
anticoagulation_therapy,clinical_data_abstraction,,checkbox,What anticoagulant(s)?,"1, Heparin | 2, Enoxaparin | 3, Bivalirudin | 4, Warfarin | 5, Argatroban | 6, Other anticoagulant",,,,,,[treatments(22)]='1',y,,,,,
anticoagulation_oth,clinical_data_abstraction,,text,What other anticoagulant(s)?,,,,,,,[anticoagulation_therapy(6)] = '1',y,,,,,
covid_abx,clinical_data_abstraction,,yesno,Other antibiotics specific for COVID-19?,,,,,,,,y,,,,, @HIDDEN
covid_abx_list,clinical_data_abstraction,,text,What other antibiotics specific for COVID-19?,,,,,,,[treatments(20)]='1',y,,,,,
other_abx,clinical_data_abstraction,,yesno,Others?,,,,,,,,y,,,,, @HIDDEN
other_abx_list,clinical_data_abstraction,,text,What other treatments for COVID-19?,,,,,,,[treatments(21)]='1',y,,,,,
anticoag_therapies,clinical_data_abstraction,,text,List therapies.,,,,,,,,y,,,,, @HIDDEN
covid_trial,clinical_data_abstraction,,radio,"Did the subject participant in another COVID study (e.g., clinical trial)?","0, No | 1, Yes | 9, Unknown",,,,,,,y,,,,,
other_covid_trial_specify,clinical_data_abstraction,,text,Please specify which other study or trial.,,,,,,,[covid_trial]='1',y,,,,,
clinical_notes,clinical_data_abstraction,,notes,Record any additional pertinent information about the data collected or clinical course here,,Please avoid recording any identifiers here,,,,,,,,,,,
